2.094395e+00 2.094395e+00 -1.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.093632e+00 2.095920e+00 -9.986788e-01 -1.479796e-01 2.959592e-01 2.564214e-01 
2.091521e+00 2.100144e+00 -9.950173e-01 -2.704119e-01 5.408237e-01 4.691421e-01 
2.088298e+00 2.106589e+00 -9.894209e-01 -3.707188e-01 7.414375e-01 6.443521e-01 
2.084170e+00 2.114845e+00 -9.822382e-01 -4.519307e-01 9.038614e-01 7.873468e-01 
2.079314e+00 2.124557e+00 -9.737662e-01 -5.166985e-01 1.033397e+00 9.026364e-01 
2.073883e+00 2.135419e+00 -9.642644e-01 -5.673843e-01 1.134769e+00 9.941677e-01 
2.068007e+00 2.147171e+00 -9.539519e-01 -6.060340e-01 1.212068e+00 1.065305e+00 
2.061796e+00 2.159592e+00 -9.430163e-01 -6.344289e-01 1.268858e+00 1.118953e+00 
2.055347e+00 2.172491e+00 -9.316217e-01 -6.541543e-01 1.308309e+00 1.157698e+00 
2.048738e+00 2.185708e+00 -9.199058e-01 -6.665679e-01 1.333136e+00 1.183745e+00 
2.042036e+00 2.199112e+00 -9.079833e-01 -6.728273e-01 1.345655e+00 1.198981e+00 
2.035298e+00 2.212589e+00 -8.959550e-01 -6.739623e-01 1.347925e+00 1.205099e+00 
2.028571e+00 2.226043e+00 -8.839068e-01 -6.708693e-01 1.341739e+00 1.203584e+00 
2.021893e+00 2.239399e+00 -8.719063e-01 -6.642827e-01 1.328565e+00 1.195662e+00 
2.015295e+00 2.252595e+00 -8.600110e-01 -6.548433e-01 1.309687e+00 1.182413e+00 
2.008803e+00 2.265579e+00 -8.482710e-01 -6.431199e-01 1.286240e+00 1.164810e+00 
2.002439e+00 2.278308e+00 -8.367269e-01 -6.295955e-01 1.259191e+00 1.143690e+00 
1.996217e+00 2.290752e+00 -8.254082e-01 -6.146529e-01 1.229306e+00 1.119724e+00 
1.990149e+00 2.302887e+00 -8.143396e-01 -5.986282e-01 1.197256e+00 1.093509e+00 
